"Date","City","State","Type","Description"
"09/17/2013","Davis","CA","Legal Developments","Clayton Daniel Garzon, 20, pled no contest to a felony count of battery causing serious bodily injury and a hate crime enhancement for yelling anti-gay slurs at a gay man and beating him in March. Garzon will receive a five-year prison term."
"09/16/2013","Manhattan","NY","Legal Developments","Antonio Lanier, 23, was charged with aggravated harassment and assault as a hate crime for allegedly participating in the Aug. 14 beating of two men who were holding hands on the street."
"09/11/2013","Tampa","FL","Harassment","Burned pages of the Quran were left outside the Council on American- Islamic Relations office."
"09/07/2013","Mount Holly","NJ","Leafletting","Fliers from the white nationalist group the Advanced White Society were distributed in a neighborhood."
"09/06/2013","Sharpsburg","MD","Rally","Eight members of the Klux Klan group the Confederate White Knights held a rally at a national park that contains a Civil War battlefield."
"08/29/2013","Danville","VA","Leafletting","Fliers from the Loyal White Knights of the Ku Klux Klan were left in driveways."
"08/27/2013","Fargo","ND","Legal Developments","Dominique Jason Flanigan, also known as Kadafi Al Sadar, 41, was arraigned on two counts of transmitting threatening communications and one count of interference with a federally protected activity for allegedly calling a synagogue in January 2011 and leaving a threatening message he claimed was from Hamas."
"08/26/2013","Reading","PA","Leafletting","Fliers from the Traditionalist American Knights of the Ku Klux Klan were left in driveways."
"08/24/2013","Uvalda","GA","Rally","About 50 people attended a rally held by the neo-Confederate hate group the League of the South."
"08/24/2013","Upper St. Clair","PA","Leafletting","Fliers from the white nationalist group the Advanced White Society were left in yards."
"08/20/2013","Portland","OR","Legal Developments","After a months-long drug and weapons investigation, law enforcement raided two triplex units that were allegedly a central location for members of the white supremacist gangs the European Kindred, Brood and FBK. James Dean Phillips, 45; Jesse Jerome Phillips, 34; Sarah Dunn, 32; Danielle Palen, 22; Jamie Coleman, 43; Kenneth Wellman, 48; Anthony Staggs, 42; and Joshua Ryan Sparks, 35, were arrested on a variety of charges."
"08/15/2013","Summerville","SC","Intimidation","Anti-Semitic and racist fliers were left at residences in a neighborhood that is allegedly experiencing problems."
"08/14/2013","Harlem","NY","Murder","Islan Nettles, a 21-year-old transgender woman, was beaten, allegedly by a man shouting anti- gay slurs. Nettles died of her injuries on Aug. 23. A 20-year-old man was arrested in connection with the incident."
"08/13/2013","New York City","NY","Assault","Two men who were holding hands on the street were allegedly beaten by men who made anti-gay remarks."
"08/06/2013","Brooklyn","NY","Vandalism","Swastikas, racist epithets and the words `Heil Hitler` were scrawled on a statue of black baseball legend Jackie Robinson and a teammate outside the minor league baseball stadium."
"08/02/2013","New Orleans","LA","Vandalism","An anti-gay epithet was painted on a gay activist's residence."
"07/26/2013","Richmond","VA","Vandalism","The letters `KKK` were spray-painted on an abandoned house."
"07/23/2013","Seattle","WA","Arson","A racial slur was spray-painted on a black man's car, which was then set afire."
"07/10/2013","Ottumwa","IN","Leafletting","Ku Klux Klan fliers were left outside homes and businesses."
"07/09/2013","Meridian","MS","Intimidation","A noose was hung outside the office of a mayoral candidate."
"07/08/2013","Dayton","OH","Assault","A man standing outside a cafe was allegedly punched and kicked by another man who yelled anti-gay epithets."
"07/08/2013","Toledo","OH","Legal Developments","Alleged neo-Nazi Richard Schmidt, 47, pled guilty to possession of firearms and body armor by a convicted felon and trafficking in counterfeit goods for illegally having a cache of weapons and counterfeit merchandise."
"07/07/2013","Milford","CT","Leafletting","Fliers from the United Klans of America were left in driveways and yards."
"07/07/2013","Blacklick","OH","Vandalism","Swastikas and racist graffiti were spray-painted on four residences and a vehicle."
"07/05/2013","Chicago","IL","Assault","A group of at least 10 people allegedly kicked and punched a lesbian couple. Terry Glover, 24, was charged with two counts of felony hate crime and two counts of felony robbery in connection with the incident."
"07/05/2013","Fairfax","VA","Assault","A man allegedly threw a balloon apparently filled with urine at a 12- year-old black youth and yelled racial epithets at him."
"06/30/2013","Tracy","CA","Vandalism","Landscaping rocks in the shape of a swastika were left in the front yard of a black city councilwoman."
"06/30/2013","New York City","NY","Harassment","Two men allegedly yelled anti-gay slurs at a group of LGBT youth on a subway train."
"03/22/2013","Louisville","KY","Vandalism","A swastika was drawn on a gay rights activist's car, which was also sideswiped."
"03/19/2013","Davis","CA","Assault","A gay man was allegedly beaten on the street by a man who yelled anti- gay slurs. Clayton Daniel Garzón, 19, was charged with battery with serious bodily injury, assault with means of force likely to produce great bodily injury and threats to commit a crime resulting in great bodily injury."
"03/16/2013","Sacramento","CA","Assault","A man was allegedly attacked by two men who used anti-gay slurs. One of the men allegedly beat the victim with a baseball bat."
"03/08/2013","Oakwood","OH","Vandalism","Swastikas and the words `Go away Jew` were painted on a Jewish family's residence in the second incident in three weeks."
"03/05/2013","Green Bay","WI","Arson","A convenience store owned by a Sikh American was set afire on the seven-month anniversary of a deadly shooting at a Sikh temple in Oak Creek. James Parrish, 53, faces charges of arson with a hate crime modification, first-degree recklessly endangering safety and carrying a concealed weapon."
"03/03/2013","Oberlin","OH","Vandalism","Homophobic and racist statements were written on posters at Oberlin College and there was a report of someone wearing a hood and robe resembling a Ku Klux Klan outfit near the college's African Heritage Center."
"03/02/2013","Westport","MA","Vandalism","A church was vandalized and its tabernacle was stolen."
"03/02/2013","Hillsboro","OR","Assault","A man walking with his boyfriend and their pink poodle was allegedly attacked by a man who yelled anti-gay comments. George Allen Mason Jr., 22, was arrested for investigation of second-degree intimidation, second-degree assault, unlawful use of a weapon and reckless driving."
"02/27/2013","Maple Shade","NJ","Vandalism","The letters `KKK` were written in chalk on a black family's residence."
"02/23/2013","Fort Lauderdale","FL","Arson","Swastikas were spray-painted inside a church that operates a day care center. The building was then set afire."
"02/23/2013","New Orleans","LA","Assault","A group of people allegedly yelled anti-gay slurs at a man who was walking hand-in-hand with another man. The man was then allegedly attacked by Jamie Hebert, 19, who was later charged with second-degree battery and committing a hate crime."
"02/22/2013","Niles","IL","Threat","Michael G. Green, 55, was charged with a felony hate crime, aggravated assault and disorderly conduct after he allegedly called a Latino man racial slurs and threatened to put a bomb in the man's car."
"02/21/2013","Winter Park","FL","Assault","A black student at Full Sail University was allegedly stabbed in the neck by another student who yelled racial slurs. Xavier Nunez, 29, was charged with aggravated battery with a deadly weapon."
"02/18/2013","New York","NY","Assault","A man who was riding on the subway with his friend was allegedly attacked by three men and three women who used anti-gay slurs."
"02/08/2013","Atlanta","GA","Assault","Joe Rickey Hundley, a 60-year-old white man, was charged with simple assault for allegedly slapping a black toddler and calling him racial slurs during an airplane flight."
"02/03/2013","Pace","FL","Vandalism","Swastikas and anti-gay slurs were spray-painted on a gay man's trailer."
"02/03/2013","Muskegon","MI","Assault","A gay man was allegedly attacked by four men outside a karaoke bar."
"02/02/2013","Wilmington","MA","Vandalism","The word `brainwashing` was spray- painted on the outside of three churches."
"01/25/2013","Avon","CT","Vandalism","Racial and anti-Semitic slurs and threats against school personnel were written on bathroom walls at a high school."
"01/23/2013","Daytona Beach","FL","Assault","A woman was allegedly attacked in a parking lot by a man who yelled anti-gay slurs. Adam Winterstein, 32, was charged with felony battery/hate crime, felony battery causing bodily harm and resisting an officer without violence."
"01/21/2013","Covington","GA","Leafletting","Recruiting fliers from the Loyal White Knights of the Ku Klux Klan were left in the driveways of residences."
"01/13/2013","Washington","DC","Assault","Two men were allegedly attacked on the street by three people who made anti-gay remarks."
"01/08/2013","Roslyn Heights","NH","Vandalism","Nassau County Police are investigating a possible hate crime. Third Squad detectives say the criminal mischief took place between Friday, Jan. 4, and Monday, Jan. 7, at 8 a.m. in Roslyn Heights. According to detectives, graffiti was discovered on a playground slide at Heights Elementary School on Willow Street. The graffiti included a one-to-two inch Swastika along with obscene words and pictures written with a black magic marker. The graffiti is being investigated as a bias incident and the investigation is ongoing. Detectives ask anyone with information regarding the above crime to contact Nassau County Crime Stoppers at 1-800-244-TIPS. All callers will remain anonymous."
"01/06/2013","St. Charles","IL","Assault","Two men who were with a female friend outside a bar were allegedly attacked by a woman and two men who called the victims anti-gay slurs during the attack. On Jan. 28, Christopher M. Miner, 30, and Stephan C. Bolt and Susan V. Patton, both 31, were charged with aggravated battery, battery, mob action, and hate crimes."
"01/04/2013","Jackson","MS","Legal Developments","A Mississippi man pleaded guilty Thursday to a federal hate crime charge in connection with a group of young men and teenagers who carried out racial attacks against African-Americans in 2011. (via http://www.cnn.com/2013/01/03/justice/mississippi-hate-crime/index.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+rss%2Fedition_us+%28RSS%3A+U.S.%29)"
"01/04/2013","Memphis","TN","Leafletting","Ku Klux Klan recruiting fliers were left in driveways."
"01/02/2013","Land O'Lakes","FL","Assault","A man was allegedly shot in the face with a pellet gun by another man who asked if the victim was Muslim."
